ID,NAME,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR
35320,Sachin Tendulkar,200,329,33,15921,248*,54,,,51,68,463,452,41,18426,200*,45,21367,86,49,96,1,1,0,10,10,10,12,83,0,0,310,490,51,25396,248*,58,,,81,116,96,96,11,2797,100*,33,2310,121,1,16,200,145,4240,2492,46,54,4,92,463,270,8054,6850,154,44,5,52,1,1,15,12,1,44208,44208,12,5,15,0,96,8,93,123,2,44208,44208,62,8,47
28114,Rahul Dravid,164,286,32,13288,270,52,31258,43,36,63,344,318,40,10889,153,39,15284,71,12,83,1,1,0,31,31,31,21,148,0,0,298,497,67,23794,270,55,,,68,117,109,101,7,2586,75*,28,2271,114,0,13,164,5,120,39,1,39,2,120,344,8,186,170,4,43,5,47,1,-,-,-,-,-,-,-,-,-,-,109,-,-,-,-,-,-,-,-,-
30750,VVS Laxman,134,225,34,8781,281,46,17785,49,17,56,86,83,7,2338,131,31,3282,71,6,10,,,,,,,,,,,267,436,54,19730,353,52,,,55,98,25,25,3,491,78*,22,428,115,0,3,134,13,324,126,2,63,2,162,86,4,42,40,0,-,6,-,,,,,,,,,,,,25,-,-,-,-,-,-,-,-,-
30176,Anil Kumble,132,173,32,2506,110*,18,6455,39,1,5,271,136,47,938,26,11,1536,61,0,0,,,,,,,,,,,244,318,61,5572,154*,22,,,7,17,54,21,17,46,8,12,59,78,0,0,132,236,40850,18355,619,30,3,66,271,265,14496,10412,337,31,4,43,,,,,,,,,,,,54,54,1245,1389,57,44321,44321,24,7,22
30028,Kapil Dev,131,184,15,5248,163,31,,,8,27,225,198,39,3783,175*,24,3979,95,1,14,,,,,,,,,,,275,384,39,11356,193,33,,,18,56,,,,,,,,,,,131,227,27740,12867,434,30,3,64,225,221,11202,6945,253,27,4,44,,,,,,,,,,,,,,,,,,,,,
28794,Sunil Gavaskar,125,214,16,10122,236*,51,,,34,45,108,102,14,3092,103*,35,4966,62,1,27,,,,,,,,,,,348,563,61,25834,340,51,,,81,105,,,,,,,,,,,125,29,380,206,1,206,3,380,108,4,20,25,1,25,8,20,,,,,,,,,,,,,,,,,,,,,
35654,Dilip Vengsarkar,116,185,22,6868,166,42,,,17,35,129,120,19,3508,105,35,5179,68,1,23,,,,,,,,,,,260,390,52,17868,284,53,,,55,87,,,,,,,,,,,116,6,47,36,0,-,5,-,129,1,6,4,0,-,4,-,,,,,,,,,,,,,,,,,,,,,
28779,Sourav Ganguly,113,188,17,7212,239,42,14070,51,16,35,311,300,23,11363,183,41,15416,74,22,72,,,,,,,,,,,254,399,44,15687,239,44,,,33,89,77,73,4,1726,91,25,1613,107,0,8,113,99,3117,1681,32,53,3,97,311,171,4561,3849,100,38,5,46,,,,,,,,,,,,77,37,573,756,29,44282,44282,26,8,20
35263,Virender Sehwag,104,180,6,8586,319,49,10441,82,23,32,251,245,9,8273,219,35,7929,104,15,38,19,18,0,394,68,22,271,145,0,2,194,321,11,14683,319,47,,,42,55,159,157,6,4061,122,27,2747,148,2,24,104,91,3731,1894,40,47,3,93,251,146,4392,3853,96,40,5,46,19,1,6,20,0,-,-,-,20,-,0,159,28,358,496,22,44269,44269,23,8,16
29264,Harbhajan Singh,103,145,23,2224,115,18,3432,65,2,9,236,128,35,1237,49,13,1526,81,0,0,28,13,5,108,21,14,87,124,0,0,198,268,46,4255,115,19,,,2,15,255,152,50,1507,78,15,1171,129,0,2,103,190,28580,13537,417,32,3,69,236,227,12479,8973,269,33,4,46,28,27,612,633,25,44298,44298,25,6,24,1,255,243,5189,5839,222,44334,44334,26,7,23
